"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3"
"1",-1.31409592822547,"7","male","6","9",0.288137361672821,0.147307403155435,0.286470766012128
"1",-0.045692429717049,"7","couple","36","9",-0.595956544495,0.6774043908233,0.142081715633009
"1",0.879029658300809,"6","couple","8","6",0.966270349161903,-0.613531040305339,0.370066337874974
"1",0.879029658300809,"6","couple","8","6",1.04284206398063,-0.121656917882427,-0.0229270702782733
"1",0.536475030981938,"8","male","17","9",-1.98160376841906,1.05105813696293,-0.0925494100725468
"1",-0.653796484206728,"8","couple","42","9",0.920132811111412,-0.376925905415222,0.266649420186557
"1",0.811382097358315,"7","couple","18","9",1.22458738231588,0.150854563261527,-0.503435917042894
"1",1.08503132027381,"8","couple","18","9",0.785020269531979,-0.385190294937148,0.367510263553385
"1",1.08503132027381,"8","couple","18","8",1.03998607161314,0.0426743760909076,-0.170798850602233
"1",-0.777653172793373,"7","couple","34","8",0.43135001485589,0.0831278097681023,0.259518404174108
"1",-0.777653172793373,"7","couple","34","8",0.185228420959615,-0.624112792345772,0.796734627627718
"1",0.794126443380903,"7","female","22","9",0.899973691597737,0.322867872427563,-0.341781694501081
"1",-0.536797128113367,"8","female","55","9",0.323816626791195,-0.515510246729302,0.689611447670221
"1",0.828498027908128,"7","couple","55","8",0.777373096062153,-0.804237127930322,0.585781391853475
"1",-0.682634665101818,"7","female","45","8",-0.837731078101473,0.722610341662186,0.16000597127716
"1",-0.682634665101818,"7","female","45","8",-0.302795537832837,0.472655519412592,0.25777655838187
"1",-0.441421286996289,"3","male","48","5",0.919906208693381,0.670766066249976,-0.923627272001715
"1",-0.441421286996289,"3","male","48","5",-0.0696251142709271,1.08761489564208,-0.765405321544938
"1",-0.468235251713198,"6","female","6","3",-0.138854058012182,-0.0231581333444688,0.596318613289619
"1",0.496963490429979,"7","couple","24","9",1.3754637127619,-0.192944076843444,-0.321179986826426
"1",0.0385340858105678,"6","female","48","9",-0.699945082445625,0.372044689453938,0.470907323694873
"1",-0.586148923264232,"8","female","17","9",0.31035371730777,0.14103115532423,0.279804169249848
"1",-0.586148923264232,"8","female","17","9",0.993331911390657,0.120521772426695,-0.203801546872079
"1",-1.29849581407165,"7","male","26","9",0.702754683723692,0.786149578721355,-0.870687736901224
"1",1.59264304647235,"7","female","53","9",-0.249944172687513,-0.990322938125283,1.06950491309616
"1",-1.09138425137815,"7","female","48","4",-0.178581530825299,1.05518746677303,-0.619098152071804
"1",-0.488571328246016,"8","female","17","9",0.397944519197274,-0.50213110567504,0.649104789006656
"1",-0.851829410724237,"7","male","17","9",-0.602336482420847,-0.29056469835812,0.879233369680265
"1",0.828498027908128,"8","female","12","9",0.656876672365148,-0.474813627311167,0.498671011005149
"1",-0.35016369652979,"5","couple","26","9",0.107180845666849,-1.01743315315574,0.970236291911716
"1",0.759186707829254,"7","female","34","6",-0.800638863877525,1.12404381336542,-0.444958930357002
"1",-0.20631188620089,"7","couple","26","9",0.856469047524031,0.363083273292157,-0.348545555436199
"1",-0.753495128433347,"4","male","9","8",0.800575962179621,-0.541214360982792,0.445723433729245
"1",0.182168594070539,"8","female","36","9",0.529589074826504,0.909293754996528,-0.931374314186237
"1",1.02375729456875,"8","couple","13","9",-0.108380320136933,-1.26013505130322,1.10576427725404
"1",-1.94845877845351,"6","female","13","8",0.0865207206263176,-1.28207648997102,1.05192379395883
"1",0.516811578733428,"6","couple","2","9",-0.532262589700659,1.36725940100284,-1.19034343332378
"1",0.151082653339576,"6","male","9","1",-0.845196184086884,-0.586676595734209,1.05707972916967
"1",-0.720131096177654,"7","male","17","9",-0.014330854752646,0.297177749135651,0.304431861144382
"1",-0.720131096177654,"7","male","17","9",-0.0176120586889905,-0.389807000604134,0.763292758145381
