"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3","topic_4"
"1",1.45634020227713,"4","female","42","2",0.523324248539921,-0.100586150037768,0.126292063619491,0.095465023595487
"1",1.03259849377375,"8","couple","6","9",-0.104945651421145,-1.77154626415713,1.16339386654769,1.18688718361098
"1",1.03259849377375,"8","couple","6","9",0.770234257307524,-0.252497723519311,-0.0175948452777336,-0.920397047639051
"1",-0.319385865336176,"4","male","0","8",0.362244071348729,-1.32730481170946,1.2623264854132,-0.608217628043844
"1",-2.0168528213691,"8","female","42","9",-0.0872405588920387,-1.51421100800913,0.669771365902772,1.62978707031103
"1",1.60471197141335,"5","male","17","9",-1.51878675435044,1.26252313687605,-0.344284597977823,1.72854013206713
"1",0.18623481429489,"7","female","51","9",1.0226274655776,-0.598206923866087,-0.908991564877232,-0.594143841497464
"1",0.18623481429489,"7","female","51","9",0.820519173028477,-0.399396657096886,-0.258527742675786,-0.331237054926454
"1",0.657487554974611,"4","couple","42","9",0.774020017539254,-0.525864198245484,0.0970951989665926,-0.481700075439727
"1",0.657487554974611,"4","couple","42","9",-0.243925176004683,-0.331974516587852,-1.28371716390798,2.1783825748694
"1",-0.275553402794637,"8","female","22","9",-0.102736747045024,0.251154864884409,0.973741548270071,0.0656109227952735
"1",-1.09454387444775,"7","male","26","4",-2.21783198691679,2.05208655060919,0.207638158167958,0.0170787723075112
"1",-1.09454387444775,"7","male","26","4",0.417420628463558,0.673662801895237,-0.57037933441294,-0.321507550846695
"1",0.336000892978599,"7","female","27","8",0.432635908563978,0.151982342495128,0.490463324617149,-1.25544545636319
"1",0.336000892978599,"7","female","27","8",0.405887680601832,-0.269831284423268,0.782502760517541,-0.579000476673395
"1",-0.440893171041727,"6","female","0","9",0.591469861863229,-0.456251708934604,0.0484965719399796,0.403790773793446
"1",0.619861809594449,"5","female","0","4",-0.298021170235939,0.773642610660071,-0.548709104196479,1.28603400102763
"1",0.619861809594449,"5","female","0","4",-0.307714329375809,-0.242626192772854,0.739606014844718,1.36156145968284
"1",0.0829046105121487,"4","male","6","9",0.149795596490354,0.470642920236234,0.367874783649825,0.0245171492448736
"1",-0.671826894389197,"4","male","36","6",-1.16976258038786,1.17948905028987,1.14956088783132,-0.090391585651116
"1",0.462323147781421,"7","couple","4","9",0.744665542911705,-0.258555011249622,-0.278019974068029,-0.101401264445808
"1",-1.18132323437842,"8","female","39","9",0.484187015411602,0.55898384093624,-0.966234061428329,0.0581339836894478
"1",0.730798237636809,"5","couple","53","9",-0.0813194823071704,0.65776192094248,-0.09757391857127,0.838726520984064
"1",-0.915251535528182,"7","male","36","9",0.823865578181984,-1.42069846760965,-1.70079035940521,1.09291178050017
"1",0.277354439353919,"7","male","36","9",0.139844541628834,0.543408883989586,-0.201664632518115,0.62024507322212
"1",0.292168430437061,"8","couple","22","9",0.52626474531422,0.52022184723514,-0.696537916150873,-0.264146006159402
"1",0.903722726210296,"8","couple","21","9",0.451455508407974,-0.237092826540258,0.690844218361374,-0.63696624210431
"1",-1.97784623857915,"5","couple","48","5",0.398111822053122,0.0915121582041175,0.471988590779034,-0.430418078831433
"1",1.01690986819252,"8","couple","12","9",0.31060724147408,0.328715035519058,0.317335952946261,-0.206648643062797
"1",1.01690986819252,"8","couple","12","8",0.202806385710794,0.358157317326641,0.513192902390421,-0.230262206878466
"1",-0.261141150183375,"7","female","36","8",0.46400738123392,0.711238884349692,-0.535224577619685,-1.03523410570653
"1",-0.261141150183375,"7","female","36","8",0.621431996483357,-0.412054177518272,-0.133986784887253,0.451133489190846
"1",-0.394510259342882,"6","couple","26","9",0.258574441441058,0.0417094543735256,0.786159254762929,-0.475841405428238
"1",-1.5689022389342,"5","female","48","6",0.125437312136957,0.64387588067132,0.494470934368377,-0.922006447495267
"1",0.657487554974611,"6","female","42","3",0.621637823296404,-0.133655981617075,0.282440584371876,-0.861560850234709
"1",-0.68347513787667,"5","female","15","9",-0.33505051843473,1.46173819919217,-0.249695267713633,-0.720840082211184
"1",0.730798237636809,"8","couple","53","9",-0.781715128064408,1.61137883292032,-1.35274882012617,0.757853295188765
"1",0.378947790367728,"5","female","36","9",0.859373397875762,-0.749036449173965,-0.74499764124593,0.399864368776541
"1",-0.0690027920671712,"5","female","6","5",-0.839527217279552,1.6250149251589,0.0690510496656735,-0.241053239057046
"1",0.292168430437061,"4","couple","0","6",-0.777388368659788,-0.00611828098414479,1.73459337336386,0.0923152444485896
"1",-2.0056348580405,"4","male","55","6",-0.400779908873703,0.43911233792894,0.901043949399921,0.631452700016272
"1",-1.3185191656652,"7","male","6","9",-0.364629667532374,0.703018331218529,0.857357421080751,0.113850762062092
"1",0.9691370910518,"4","couple","22","9",0.562411825097775,0.108165698969911,0.110842551283468,-0.596375502431642
"1",-1.15200140236044,"7","couple","49","9",-2.04544773323331,-1.27381075809896,2.64305861475321,-0.504251381199127
"1",0.887049706484306,"6","couple","8","6",0.416999169028596,0.14435582064209,-0.421975958869403,0.65361769878415
"1",-0.620185509961295,"7","couple","6","6",-0.023877965629173,0.980724519917695,-0.886835601956703,0.63475593466155
"1",0.542551503706066,"8","male","17","9",-0.440380642740492,1.54623186268664,-0.588317759720998,-0.176645786964583
"1",-0.654473335835607,"8","couple","42","9",0.410283431858625,0.287683884534316,0.254177290879396,-0.509572754141379
"1",-1.99942814087912,"8","male","13","8",0.923956397684581,-0.43027729343582,-0.52885803842936,-0.630615058239781
"1",0.819018328979872,"7","couple","18","9",0.912232008200363,-1.79319156284593,-0.360615425580954,0.459827993642716
"1",0.819018328979872,"7","couple","18","9",-1.18411475516164,-0.313575042562051,0.834893502879593,2.08834112960241
"1",1.0942201740809,"8","couple","18","8",0.207123728063262,0.421036583265402,0.155094981477146,0.273190791373346
"1",-0.779032758530092,"7","couple","34","8",0.0833220367900548,0.012119240661633,1.10978725070809,-0.722166384507821
"1",-0.779032758530092,"7","couple","34","8",0.649143656285583,-0.706933640903026,0.623368713965051,-0.861520268717277
"1",0.801664770426281,"7","female","22","9",0.351699987220151,0.140361225133685,0.405393191209589,-0.12615379828048
"1",0.581558086496015,"7","male","51","9",0.231488242851239,0.432017249974503,0.567997132952326,-1.01604795879262
"1",-0.536810152547603,"8","female","55","9",0.527642019553892,-0.0337152034212773,-0.501561118287326,0.618399176076199
"1",0.836231371347562,"7","couple","55","8",0.66057286336412,-0.128346490891523,0.0827307302784981,-0.538925971026054
"1",-0.68347513787667,"7","female","45","8",0.891411862815629,-0.743244073918009,-0.453479258616001,0.0219843946551432
"1",-0.68347513787667,"7","female","45","8",-0.179405533757756,-0.565306567803749,1.14517313172231,0.879881483690984
"1",-0.440893171041727,"3","male","48","5",0.30919482139772,0.0131608666508143,0.745339316094854,-0.567306760755615
"1",-0.440893171041727,"3","male","48","5",0.398887604018505,0.817045630622675,-0.824369651453565,-0.493740294424977
"1",0.131220306597876,"4","couple","9","5",0.885887313614994,-0.440793986219572,-0.372977461405701,-0.545120528192905
"1",-0.467859271971771,"6","female","6","3",0.446375936300283,-0.333740154896135,-0.109742225481035,0.847107622849098
